canonical_smiles,pchembl_value
CC(C)n1cc2c(Cl)nc(NC(=O)Cc3ccccc3)nc2n1,5.72
CC(C)n1cc2c(Cl)nc(NC(=O)c3ccc(F)cc3)nc2n1,5.47
CC(C)n1cnc2c(N)ncnc21,5.37
CC(C)n1nc(-c2ccccn2)c2sccc2c1=O,6.04
CC(CO)NC(=O)c1cn2c(nc3ccccc32)c(N)n1,6.93
CC(Nc1nc(Cl)nc2c1ncn2[C@@]12C[C@H](O)[C@H](O)[C@@H]1C2)C1CC1,7.06
CC(Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21)C1CC1,7.06
CC(O)CNC(=O)c1cn2c(nc3ccccc32)c(N)n1,7.25
CC(O)CNc1nc2ccccc2n2nc(-c3ccco3)nc12,8.4
CC(O)Cn1c(Br)nc2c(N)ncnc21,5.54
CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)Nc1ccccc1,8.11
CC(Sc1nc(N)c(C#N)c(-c2ccc(OCCO)cc2)c1C#N)c1cccc(C(N)=O)c1,9.4
CC(Sc1nnc(C(C)C)[nH]1)C(=O)c1ccccc1,8.48
CC(c1ccccc1)c1cc2c(N)nc(-c3cccc(C#N)c3)nc2s1,5.75
CC/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,7.26
CC/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,7.48
CC/N=c1\nc(-c2ccc(C)cc2)n(-c2ccc(C)cc2)s1,5.8
CC1(C)C=C(c2nnc(N)nc2-c2ccccc2)CC(C)(C)O1,6.01
CC1(C)CC(NC2NC=Nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC(C)(C)N1,5.8
CC1(C)CC(NC2NC=Nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC(C)(C)N1[O],7.3
CC1(C)CC(Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC(C)(C)N1,5.8
CC1(C)CC(Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC(C)(C)N1[O],7.3
CC1(C)NC(C)(C)c2cc(NC3NC=Nc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)ccc21,6.54
CC1(C)NC(C)(C)c2cc(Nc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)ccc21,6.54
CC1(C)c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2C(C)(C)N1[O],7.82
CC1(C)c2ccc(C(=O)NCCc3ccc(Nc4ncnc5c4ncn5[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)cc3)cc2C(C)(C)N1[O],8.15
CC1(C)c2ccc(CNC3NC=Nc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2C(C)(C)N1[O],5.94
